Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-04-17 11:51 (BST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-01-08 09:50 (BST),,,,,,,106,,,
2020-04-19 11:37 (BST),On Demand,Kendall Toole,20,Cycling,Intervals,20 min Tabata Ride,2020-04-02 15:31 (BST),,,,,,,107,,,
2020-04-20 11:07 (BST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-03-11 08:51 (BST),,,,,,,111,,,
2020-04-22 11:41 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-01-16 09:50 (BST),,,,,,,112,,,
2020-04-29 08:30 (BST),On Demand,Ben Alldis,20,Cycling,Intervals,20 min Tabata Ride,2019-11-27 05:50 (BST),,,,,,,110,,,
2020-05-01 07:27 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2019-11-01 06:50 (BST),,,,,,,110,,,
2020-05-04 07:17 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2019-10-09 05:47 (BST),,,,,,,109,,,
2020-05-04 22:15 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-04-30 00:00 (BST),,,,,,,,,,
2020-05-05 22:15 (BST),On Demand,Aditi Shah,10,Meditation,Audio Only,10 min Relaxing Meditation,2020-04-14 16:00 (BST),,,,,,,,,,
2020-05-06 07:31 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2019-08-09 06:50 (BST),,,,,,,110,,,
2020-05-06 22:12 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-02-19 14:50 (BST),,,,,,,,,,
2020-05-07 22:12 (BST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Relaxing Meditation,2019-10-10 22:12 (BST),,,,,,,,,,
2020-05-08 12:40 (BST),On Demand,Robin Arzon,20,Cycling,Climb,20 min Climb Ride,2020-03-07 12:30 (BST),,,,,,,,,,
2020-05-08 12:41 (BST),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2020-01-31 09:50 (BST),,,,,,,53,,,
2020-05-08 22:44 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-04-30 00:00 (BST),,,,,,,,,,
2020-05-09 22:18 (BST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Savasana Meditation,2020-02-19 14:40 (BST),,,,,,,,,,
2020-05-10 22:18 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2019-11-13 21:24 (BST),,,,,,,,,,
2020-05-11 07:06 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Breathing Meditation,2019-07-18 14:01 (BST),,,,,,,,,,
2020-05-11 07:24 (BST),On Demand,Becs Gentry,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2019-12-13 15:10 (BST),,,,,,,24,,,
2020-05-11 22:16 (BST),On Demand,Aditi Shah,10,Meditation,Audio Only,10 min Relaxing Meditation,2020-04-14 16:00 (BST),,,,,,,,,,
2020-05-12 22:18 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Calming Meditation,2019-04-30 14:01 (BST),,,,,,,,,,
2020-05-13 22:03 (BST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-02-19 14:55 (BST),,,,,,,,,,
2020-05-13 22:15 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-04-30 00:00 (BST),,,,,,,,,,
2020-05-14 21:52 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Relaxing Meditation,2019-02-04 14:01 (BST),,,,,,,,,,
2020-05-15 11:56 (BST),On Demand,Becs Gentry,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2019-12-13 15:10 (BST),,,,,,,18,,,
2020-05-15 22:12 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2019-03-19 15:42 (BST),,,,,,,,,,
2020-05-16 09:53 (BST),On Demand,Aditi Shah,10,Meditation,Mindfulness,10 min Body Scan Meditation,2019-10-16 21:34 (BST),,,,,,,,,,
2020-05-16 22:21 (BST),On Demand,Ross Rayburn,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-03-11 00:01 (BST),,,,,,,,,,
2020-05-17 11:31 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Seasonal Meditation,2020-02-12 01:01 (BST),,,,,,,,,,
2020-05-17 11:33 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Breathing Meditation,2019-07-18 14:01 (BST),,,,,,,,,,
2020-05-17 22:06 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-02-19 14:50 (BST),,,,,,,,,,
2020-05-18 06:18 (BST),On Demand,Chase Tucker,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2020-03-10 13:56 (BST),,,,,,,25,,,
2020-05-18 22:15 (BST),On Demand,Anna Greenberg,10,Meditation,Mindfulness,10 min Breathing Meditation,2020-03-31 14:30 (BST),,,,,,,,,,
2020-05-19 06:19 (BST),On Demand,Chase Tucker,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2019-07-03 16:26 (BST),,,,,,,25,,,
2020-05-19 20:30 (BST),On Demand,Hannah Corbin,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2018-09-06 17:36 (BST),,,,,,,25,,,
2020-05-19 20:41 (BST),On Demand,Olivia Amato,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2018-08-09 22:05 (BST),,,,,,,50,,,
2020-05-19 22:14 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Breathing Meditation,2020-03-04 01:02 (BST),,,,,,,,,,
2020-05-20 07:15 (BST),On Demand,Adrian Williams,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2020-05-19 15:00 (BST),,,,,,,24,,,
2020-05-20 22:05 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Breathing Meditation,2019-07-18 14:01 (BST),,,,,,,,,,
2020-05-21 07:24 (BST),On Demand,Becs Gentry,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2019-12-13 15:10 (BST),,,,,,,18,,,
2020-05-21 22:15 (BST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Calming Meditation,2020-02-20 01:01 (BST),,,,,,,,,,
2020-05-22 22:32 (BST),On Demand,Ross Rayburn,10,Meditation,Relax & Sleep,10 min Sleep Meditation: From Home,2020-05-19 20:08 (BST),,,,,,,,,,
2020-05-23 22:32 (BST),On Demand,Aditi Shah,10,Meditation,Emotions,10 min Peace Meditation,2020-05-05 13:50 (BST),,,,,,,,,,
2020-05-23 22:32 (BST),On Demand,Aditi Shah,15,Meditation,Audio Only,15 min Sleep Meditation,2020-03-05 16:00 (BST),,,,,,,,,,
2020-05-24 22:23 (BST),On Demand,Kristin McGee,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2020-02-19 15:00 (BST),,,,,,,,,,
2020-05-25 22:11 (BST),On Demand,Aditi Shah,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2019-11-27 14:37 (BST),,,,,,,,,,
2020-05-26 22:12 (BST),On Demand,Aditi Shah,15,Meditation,Relax & Sleep,15 min Calming Meditation,2019-08-12 16:50 (BST),,,,,,,,,,
2020-05-27 22:12 (BST),On Demand,Aditi Shah,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2020-01-16 21:22 (BST),,,,,,,,,,
2020-05-28 22:12 (BST),On Demand,Kristin McGee,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2020-01-03 15:55 (BST),,,,,,,,,,
2020-05-29 21:59 (BST),On Demand,Anna Greenberg,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2019-10-15 14:25 (BST),,,,,,,,,,
2020-05-30 21:57 (BST),On Demand,Aditi Shah,20,Meditation,Relax & Sleep,20 min Sleep Meditation,2020-01-08 21:23 (BST),,,,,,,,,,
2020-05-31 11:45 (BST),On Demand,Chase Tucker,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2020-03-10 13:56 (BST),,,,,,,1,,,
2020-05-31 11:47 (BST),On Demand,Becs Gentry,10,Stretching,Lower Body Stretch,10 min Hips Stretch,2019-12-13 15:10 (BST),,,,,,,17,,,
